"Player";"Short Name";"Player ID";"Birthdate";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Natalia Ramos Álvarez";"Natalia Ramos";"67699";"1999-02-10";"101.77";"21";"0";"11139.86";"109.46";"1836.1";"384.05";"33.33";"16.86";"1.14";"400.9";"34.48";"24.05";"25.7";"144.24";"3.29";"117.0";"10.76";"1.29";"0.85";"1.04";"0.05";"null";"null";"33.9";"2.0";"2.8";"9851.36";"109.46";"1623.72";"339.63";"29.48";"14.91";"1.01";"354.53";"30.49";"127.55";"2.91";"103.47";"9.52";"1.14";"0.04";"29.98"
"Patricia Gavira Collado";"Patri Gavira";"67700";"1989-04-26";"103.94";"20";"0";"9880.75";"95.06";"980.05";"267.05";"22.85";"36.75";"1.45";"303.8";"24.3";"25.77";"27.12";"112.1";"3.3";"93.2";"8.65";"0.75";"0.83";"null";"0.0";"null";"null";"14.2";"2.16";"2.81";"8555.45";"95.06";"848.6";"231.23";"19.79";"31.82";"1.26";"263.05";"21.04";"97.06";"2.86";"80.7";"7.49";"0.65";"0.0";"12.3"
"Koko Ange Mariette Christelle N'Guessan";"A. N'Guessan";"67702";"1990-11-18";"89.39";"3";"0";"8249.33";"92.29";"1038.67";"492.0";"48.33";"169.0";"9.67";"661.0";"58.0";"28.47";"28.47";"96.67";"6.67";"83.33";"14.0";"3.33";"0.81";"null";"0.67";"null";"null";"19.67";"null";"null";"8305.73";"92.29";"1045.77";"495.36";"48.66";"170.16";"9.73";"665.52";"58.4";"97.33";"6.71";"83.9";"14.1";"3.36";"0.67";"19.8"
"Paola Hernández Díaz";"Paola Hernández";"67705";"2002-07-25";"80.98";"15";"0";"8820.4";"108.93";"1251.8";"284.93";"24.13";"24.0";"0.93";"308.93";"25.07";"24.72";"26.16";"105.4";"2.33";"85.87";"8.53";"0.67";"0.89";"null";"0.2";"null";"null";"24.2";"2.14";"3.06";"9803.27";"108.93";"1391.29";"316.68";"26.82";"26.67";"1.04";"343.36";"27.86";"117.14";"2.59";"95.43";"9.48";"0.74";"0.22";"26.9"
"Cecilia Marcos Nabal";"Cecilia Marcos";"68132";"2001-11-03";"72.67";"4";"0";"7927.5";"109.09";"1068.0";"445.75";"39.5";"147.5";"8.0";"593.25";"47.5";"27.73";"27.73";"89.5";"5.75";"74.5";"10.75";"5.0";"0.74";"0.8";"0.75";"null";"null";"29.75";"2.47";"2.99";"9818.46";"109.09";"1322.75";"552.08";"48.92";"182.68";"9.91";"734.76";"58.83";"110.85";"7.12";"92.27";"13.31";"6.19";"0.93";"36.85"
"Emma Ramírez Gorgoso";"Emma Ramírez";"68133";"2002-05-10";"70.27";"7";"0";"7495.43";"106.66";"1011.71";"385.14";"34.43";"93.29";"4.29";"478.43";"38.71";"27.64";"28.4";"83.86";"4.14";"73.86";"10.86";"1.57";"0.86";"null";"0.0";"null";"null";"23.14";"2.45";"2.8";"9599.76";"106.66";"1295.75";"493.27";"44.09";"119.48";"5.49";"612.75";"49.58";"107.4";"5.31";"94.59";"13.91";"2.01";"0.0";"29.64"
"Gemma Gili Giner";"Gemma Gili";"68135";"1994-05-21";"88.98";"1";"0";"8803.0";"98.93";"952.0";"266.0";"23.0";"10.0";"0.0";"276.0";"23.0";"24.7";"24.7";"92.0";"4.0";"77.0";"4.0";"1.0";"null";"null";"0.0";"null";"null";"15.0";"null";"null";"8903.58";"98.93";"962.88";"269.04";"23.26";"10.11";"0.0";"279.15";"23.26";"93.05";"4.05";"77.88";"4.05";"1.01";"0.0";"15.17"
"Iris Arnaiz Gil";"Iris Arnaiz";"68136";"1994-05-18";"89.83";"16";"0";"8775.19";"97.69";"998.56";"219.0";"19.12";"27.81";"1.25";"246.81";"20.38";"24.73";"26.78";"91.31";"1.88";"81.88";"4.69";"0.56";"0.99";"null";"0.0";"null";"null";"11.19";"2.05";"3.15";"8791.98";"97.69";"1000.47";"219.42";"19.16";"27.87";"1.25";"247.28";"20.41";"91.49";"1.88";"82.03";"4.7";"0.56";"0.0";"11.21"
"Maddi Torre Larrañaga";"Maddi Torre";"68138";"1996-03-30";"97.2";"7";"0";"9511.29";"97.85";"1017.0";"338.0";"26.71";"28.57";"2.0";"366.57";"28.71";"25.47";"25.84";"95.43";"2.57";"78.57";"5.14";"0.86";"1.5";"null";"0.0";"null";"null";"13.71";"2.74";"null";"8806.31";"97.85";"941.62";"312.95";"24.73";"26.45";"1.85";"339.4";"26.59";"88.36";"2.38";"72.75";"4.76";"0.79";"0.0";"12.7"
"Gabriela Antonia García Segura";"Gaby García";"68140";"1997-04-02";"96.12";"10";"0";"10387.2";"108.06";"1401.8";"391.5";"30.5";"53.4";"3.3";"444.9";"33.8";"25.77";"26.56";"108.4";"2.5";"95.7";"6.4";"1.2";"0.89";"null";"0.2";"null";"null";"19.7";"2.13";"3.06";"9725.34";"108.06";"1312.48";"366.55";"28.56";"50.0";"3.09";"416.55";"31.65";"101.49";"2.34";"89.6";"5.99";"1.12";"0.19";"18.44"
"Mirari Uria Gabilondo";"Mirari Uria";"68146";"2003-01-01";"78.41";"3";"0";"8967.33";"114.37";"1137.33";"452.67";"37.67";"48.67";"4.0";"501.33";"41.67";"25.87";"25.87";"83.0";"4.33";"76.33";"9.67";"2.0";"null";"null";"0.0";"null";"null";"24.67";"2.34";"null";"10293.4";"114.37";"1305.52";"519.61";"43.24";"55.86";"4.59";"575.47";"47.83";"95.27";"4.97";"87.62";"11.1";"2.3";"0.0";"28.31"
"Berta Pujadas Boix";"Berta Pujadas";"68151";"2000-04-09";"101.13";"6";"0";"9227.33";"91.24";"970.83";"282.67";"24.17";"39.0";"2.5";"321.67";"26.67";"25.95";"26.18";"101.33";"3.5";"83.67";"6.0";"1.83";"1.13";"null";"0.0";"null";"null";"15.0";"2.4";"3.23";"8211.54";"91.24";"863.96";"251.55";"21.51";"34.71";"2.22";"286.26";"23.73";"90.18";"3.11";"74.46";"5.34";"1.63";"0.0";"13.35"
"Esther Martín-Pozuelo Aranda";"Esther Martín-Pozuelo";"68154";"1998-10-08";"93.79";"15";"0";"9180.53";"97.88";"1102.4";"405.93";"35.6";"76.87";"4.33";"482.8";"39.93";"26.89";"27.86";"103.67";"4.4";"89.13";"10.53";"1.8";"0.67";"null";"0.33";"2.12";"null";"21.4";"2.16";"2.67";"8809.24";"97.88";"1057.82";"389.52";"34.16";"73.76";"4.16";"463.27";"38.32";"99.47";"4.22";"85.53";"10.11";"1.73";"0.32";"20.53"
"Lice Fabiana Chamorro Gómez";"L. Chamorro";"68162";"1998-12-22";"96.56";"15";"0";"9435.67";"97.71";"1110.73";"616.13";"61.07";"248.4";"14.27";"864.53";"75.33";"28.94";"30.06";"104.73";"7.33";"88.27";"13.53";"5.47";"0.59";"0.77";"2.13";"1.29";"1.95";"27.07";"1.98";"2.91";"8794.23";"97.71";"1035.23";"574.25";"56.92";"231.51";"13.3";"805.76";"70.21";"97.61";"6.83";"82.27";"12.61";"5.1";"1.99";"25.23"
"Nerea Nevado Gómez";"Nerea Nevado";"68163";"2001-04-27";"100.29";"15";"0";"9810.6";"97.82";"1175.73";"463.6";"38.6";"85.8";"4.67";"549.4";"43.27";"26.55";"27.42";"110.4";"4.6";"98.2";"11.0";"3.13";"0.62";"0.93";"0.2";"null";"null";"21.27";"2.1";"2.99";"8803.81";"97.82";"1055.08";"416.02";"34.64";"77.0";"4.19";"493.02";"38.83";"99.07";"4.13";"88.12";"9.87";"2.81";"0.18";"19.08"
"Gema Soliveres Cholbi";"Gema Soliveres";"68167";"2000-11-03";"68.8";"3";"0";"7022.0";"102.06";"981.67";"208.67";"16.33";"36.0";"0.67";"244.67";"17.0";"25.27";"25.27";"79.67";"2.0";"73.33";"2.33";"0.0";"null";"null";"0.0";"null";"null";"13.67";"null";"null";"9185.76";"102.06";"1284.16";"272.97";"21.37";"47.09";"0.87";"320.06";"22.24";"104.22";"2.62";"95.93";"3.05";"0.0";"0.0";"17.88"
"Sonia García Majarín";"Sonia Majarín";"68169";"2002-12-06";"99.72";"17";"0";"9174.41";"92.0";"938.53";"317.76";"27.35";"71.0";"3.06";"388.76";"30.41";"26.74";"27.78";"98.24";"2.71";"82.82";"5.88";"1.47";"0.76";"0.99";"0.12";"null";"null";"15.53";"2.06";"null";"8279.94";"92.0";"847.03";"286.78";"24.69";"64.08";"2.76";"350.86";"27.45";"88.66";"2.44";"74.75";"5.31";"1.33";"0.11";"14.02"
"Vera Martínez Viota";"Vera Martínez";"68175";"1999-09-13";"104.16";"14";"0";"10550.71";"101.3";"1287.79";"457.64";"36.21";"83.29";"4.86";"540.93";"41.07";"26.29";"27.14";"115.36";"3.21";"94.79";"10.07";"0.93";"0.95";"1.04";"0.0";"null";"null";"22.14";"2.27";"2.91";"9116.75";"101.3";"1112.76";"395.44";"31.29";"71.97";"4.2";"467.41";"35.49";"99.68";"2.78";"81.9";"8.7";"0.8";"0.0";"19.13"
"Garazi Fácila Giralte";"Garazi Facila";"68176";"1999-10-25";"101.49";"19";"0";"9976.16";"98.3";"1212.16";"548.05";"48.32";"175.26";"10.05";"723.32";"58.37";"28.19";"29.44";"116.42";"4.89";"101.11";"12.68";"3.37";"0.72";"0.84";"1.0";"1.53";"1.69";"23.05";"2.14";"2.78";"8846.62";"98.3";"1074.91";"486.0";"42.85";"155.42";"8.91";"641.42";"51.76";"103.24";"4.34";"89.66";"11.25";"2.99";"0.89";"20.44"
"Miku Ito Kojima";"M. Kojima";"68177";"1999-11-06";"84.72";"5";"0";"8994.0";"106.16";"1023.0";"172.8";"14.2";"1.6";"0.0";"174.4";"14.2";"23.48";"23.48";"93.0";"2.0";"80.4";"3.2";"0.4";"null";"null";"0.0";"null";"null";"16.6";"2.5";"3.0";"9554.53";"106.16";"1086.76";"183.57";"15.08";"1.7";"0.0";"185.27";"15.08";"98.8";"2.12";"85.41";"3.4";"0.42";"0.0";"17.63"
"Naima García Aguilar";"Naima Garcia";"68178";"1998-06-24";"77.25";"7";"0";"8466.14";"109.59";"1173.29";"304.29";"27.57";"47.0";"2.0";"351.29";"29.57";"25.01";"25.34";"84.86";"2.43";"72.43";"7.29";"1.43";"0.84";"null";"0.29";"null";"null";"16.71";"2.26";"null";"9862.86";"109.59";"1366.85";"354.49";"32.12";"54.75";"2.33";"409.24";"34.45";"98.86";"2.83";"84.38";"8.49";"1.66";"0.33";"19.47"
"Ana González";"Ana Gonzalez";"68183";"1995-03-26";"85.63";"12";"0";"8288.67";"96.8";"961.58";"214.0";"16.08";"17.75";"0.83";"231.75";"16.92";"24.08";"24.94";"94.67";"1.0";"78.67";"4.17";"0.33";"null";"null";"0.0";"null";"null";"13.0";"2.33";"3.11";"8711.61";"96.8";"1010.65";"224.92";"16.9";"18.66";"0.88";"243.58";"17.78";"99.5";"1.05";"82.68";"4.38";"0.35";"0.0";"13.66"
"Angela Sosa Martín";"Ángela Sosa";"68185";"1993-01-16";"93.73";"19";"0";"10564.11";"112.71";"1691.74";"477.58";"37.68";"55.11";"4.11";"532.68";"41.79";"25.77";"27.1";"108.21";"1.26";"93.74";"6.16";"0.37";"0.85";"0.85";"0.05";"null";"null";"26.16";"2.09";"2.75";"10143.91";"112.71";"1624.45";"458.58";"36.19";"52.91";"3.94";"511.5";"40.13";"103.91";"1.21";"90.01";"5.91";"0.35";"0.05";"25.12"
"Paula Perea ";"Paula Perea";"68189";"1996-06-19";"88.41";"5";"0";"9006.6";"101.87";"1195.2";"495.6";"36.8";"94.4";"3.8";"590.0";"40.6";"26.04";"26.04";"97.4";"5.6";"86.0";"14.6";"1.8";"1.21";"null";"0.0";"null";"null";"26.0";"2.38";"2.91";"9168.23";"101.87";"1216.65";"504.49";"37.46";"96.09";"3.87";"600.59";"41.33";"99.15";"5.7";"87.54";"14.86";"1.83";"0.0";"26.47"
"Andrea Medina Martin";"Andrea Medina";"68193";"2004-05-11";"98.2";"18";"0";"10365.44";"105.56";"1393.78";"556.72";"43.83";"117.17";"6.06";"673.89";"49.89";"27.03";"28.48";"107.56";"5.61";"93.33";"14.0";"3.33";"0.86";"0.88";"0.39";"1.68";"2.02";"18.72";"2.09";"2.72";"9499.99";"105.56";"1277.41";"510.24";"40.17";"107.38";"5.55";"617.62";"45.72";"98.58";"5.14";"85.54";"12.83";"3.06";"0.36";"17.16"
"Silvia Lloris Nicolás";"Silvia Lloris";"68197";"2004-05-15";"104.05";"14";"0";"10412.71";"100.07";"1161.43";"349.43";"26.93";"59.0";"3.43";"408.43";"30.36";"26.55";"27.92";"103.21";"2.71";"84.57";"3.43";"1.0";"0.89";"0.96";"0.29";"null";"null";"14.71";"2.47";"3.09";"9006.67";"100.07";"1004.6";"302.24";"23.29";"51.03";"2.97";"353.28";"26.26";"89.28";"2.35";"73.15";"2.97";"0.86";"0.25";"12.73"
"Leire Baños Indakoetxea";"Leire Baños";"68200";"1996-11-29";"80.86";"10";"0";"8237.4";"101.87";"907.4";"155.1";"15.3";"14.2";"0.5";"169.3";"15.8";"23.64";"24.92";"85.1";"1.7";"80.9";"3.5";"0.2";"null";"null";"0.0";"null";"null";"13.4";"2.47";"3.21";"9168.51";"101.87";"1009.97";"172.63";"17.03";"15.81";"0.56";"188.44";"17.59";"94.72";"1.89";"90.04";"3.9";"0.22";"0.0";"14.91"
"María Méndez Fernández";"María Méndez";"68201";"2001-04-10";"102.19";"13";"0";"9992.54";"97.78";"1125.62";"315.62";"26.77";"48.31";"2.92";"363.92";"29.69";"25.99";"26.92";"111.77";"2.85";"92.62";"6.31";"1.62";"0.7";"0.83";"0.08";"null";"null";"15.23";"2.32";"3.0";"8800.13";"97.78";"991.3";"277.95";"23.57";"42.54";"2.57";"320.5";"26.15";"98.43";"2.51";"81.56";"5.55";"1.42";"0.07";"13.41"
"Núria Mendoza Miralles";"Núria Mendoza";"68202";"1995-12-15";"100.04";"19";"0";"9336.53";"93.33";"855.63";"237.58";"20.47";"35.21";"1.63";"272.79";"22.11";"25.01";"26.74";"98.79";"2.16";"84.79";"4.74";"0.21";"0.88";"null";"0.0";"null";"null";"13.16";"2.17";"3.12";"8399.93";"93.33";"769.8";"213.75";"18.42";"31.68";"1.47";"245.42";"19.89";"88.88";"1.94";"76.28";"4.26";"0.19";"0.0";"11.84"
"Lucía María Rodríguez Herrero";"Lucía Rodríguez";"68208";"1999-05-24";"98.27";"15";"0";"10195.4";"103.75";"1275.8";"392.53";"33.0";"73.93";"4.07";"466.47";"37.07";"26.17";"27.34";"104.6";"4.2";"94.4";"8.13";"1.6";"0.79";"null";"0.13";"null";"null";"21.73";"2.05";"3.04";"9337.5";"103.75";"1168.45";"359.5";"30.22";"67.71";"3.72";"427.22";"33.95";"95.8";"3.85";"86.46";"7.45";"1.47";"0.12";"19.9"
"Rocío Gálvez Luna";"Rocio Galvez";"68210";"1997-04-15";"101.15";"12";"0";"9600.0";"94.91";"957.5";"269.42";"23.83";"32.67";"2.25";"302.08";"26.08";"25.76";"26.82";"93.5";"2.33";"79.92";"5.0";"0.92";"0.96";"null";"0.0";"null";"null";"12.75";"2.2";"3.13";"8541.89";"94.91";"851.96";"239.72";"21.21";"29.07";"2.0";"268.79";"23.21";"83.19";"2.08";"71.11";"4.45";"0.82";"0.0";"11.34"
"Lorena Navarro Domínguez";"Lorena Navarro";"68215";"2000-11-11";"82.0";"9";"0";"8377.67";"102.16";"933.89";"173.11";"15.44";"14.44";"0.67";"187.56";"16.11";"23.34";"24.12";"92.78";"0.78";"80.22";"5.22";"0.33";"null";"null";"0.0";"null";"null";"15.89";"2.18";"3.34";"9194.58";"102.16";"1024.95";"189.99";"16.95";"15.85";"0.73";"205.84";"17.68";"101.82";"0.85";"88.04";"5.73";"0.37";"0.0";"17.44"
"Paula Arana Montes";"Paula Arana";"68245";"2001-11-08";"77.79";"8";"0";"9072.25";"116.63";"1462.75";"393.62";"32.62";"32.88";"2.88";"426.5";"35.5";"25.15";"25.76";"91.5";"2.88";"78.5";"6.62";"1.62";"0.81";"null";"0.0";"null";"null";"32.88";"2.27";"2.92";"10496.86";"116.63";"1692.44";"455.44";"37.75";"38.04";"3.33";"493.47";"41.07";"105.87";"3.33";"90.83";"7.67";"1.88";"0.0";"38.04"
"Irene Oguiza Martínez";"Irene Oguiza";"68246";"2000-01-05";"68.06";"2";"0";"7904.5";"116.14";"1060.0";"162.0";"19.0";"15.0";"2.0";"177.0";"21.0";"25.05";"25.05";"80.0";"0.5";"76.0";"4.0";"0.0";"null";"null";"0.0";"null";"null";"15.0";"null";"null";"10452.87";"116.14";"1401.74";"214.23";"25.13";"19.84";"2.64";"234.06";"27.77";"105.79";"0.66";"100.5";"5.29";"0.0";"0.0";"19.84"
"Ane Azkona";"Ane Azkona";"68249";"1998-07-15";"85.16";"12";"0";"9126.0";"107.16";"1267.58";"474.42";"41.17";"95.17";"5.92";"569.58";"47.08";"27.05";"28.22";"94.83";"4.33";"82.42";"8.33";"1.83";"0.81";"0.95";"0.58";"2.0";"null";"24.75";"1.99";"2.94";"9644.23";"107.16";"1339.56";"501.36";"43.5";"100.57";"6.25";"601.93";"49.76";"100.22";"4.58";"87.1";"8.81";"1.94";"0.62";"26.16"
"Ane Etxezarreta Ayerbe";"Ane Etxezarreta";"68262";"1995-08-24";"100.43";"9";"0";"9386.44";"93.46";"891.33";"271.0";"23.78";"47.0";"2.67";"318.0";"26.44";"26.09";"26.62";"102.56";"2.67";"87.33";"6.67";"1.33";"0.86";"null";"0.33";"null";"null";"12.44";"2.36";"null";"8411.82";"93.46";"798.78";"242.86";"21.31";"42.12";"2.39";"284.98";"23.7";"91.91";"2.39";"78.27";"5.97";"1.19";"0.3";"11.15"
"Lauren Eduarda Leal Costa";"Lauren Leal";"68398";"2002-09-13";"98.76";"13";"0";"10139.77";"102.67";"1299.77";"347.0";"27.38";"57.92";"3.38";"404.92";"30.77";"26.02";"27.0";"104.85";"3.38";"90.54";"6.0";"1.31";"0.9";"0.99";"0.08";"null";"null";"13.85";"2.31";"3.14";"9240.59";"102.67";"1184.51";"316.23";"24.96";"52.79";"3.08";"369.02";"28.04";"95.55";"3.08";"82.51";"5.47";"1.19";"0.07";"12.62"
"Yasmim Assis Ribeiro";"Yasmim";"68399";"1996-10-28";"83.04";"6";"0";"8924.83";"107.48";"1186.0";"448.33";"35.83";"96.5";"4.83";"544.83";"40.67";"27.8";"28.12";"96.5";"4.33";"83.5";"7.33";"3.17";"0.85";"0.93";"0.83";"null";"null";"17.67";"2.46";"3.0";"9673.32";"107.48";"1285.46";"485.93";"38.84";"104.59";"5.24";"590.53";"44.08";"104.59";"4.7";"90.5";"7.95";"3.43";"0.9";"19.15"
"Alices Yannel Correa Santa Cruz";"Yannel Correa";"68451";"1996-09-10";"90.51";"8";"0";"8282.5";"91.5";"861.25";"282.62";"23.0";"58.38";"2.0";"341.0";"25.0";"26.32";"27.16";"92.25";"3.12";"80.88";"4.88";"0.62";"1.54";"null";"0.0";"null";"null";"13.12";"2.34";"3.13";"8235.41";"91.5";"856.35";"281.02";"22.87";"58.04";"1.99";"339.06";"24.86";"91.73";"3.11";"80.42";"4.85";"0.62";"0.0";"13.05"
"Ximena Daiana Velazco Nuñez";"X. Velazco";"68457";"1995-07-31";"79.62";"4";"0";"8449.5";"106.12";"853.5";"162.75";"14.75";"8.75";"0.25";"171.5";"15.0";"23.95";"23.95";"73.25";"0.25";"78.0";"2.75";"0.0";"null";"null";"0.0";"null";"null";"10.0";"2.76";"null";"9550.46";"106.12";"964.71";"183.96";"16.67";"9.89";"0.28";"193.85";"16.95";"82.79";"0.28";"88.16";"3.11";"0.0";"0.0";"11.3"
"Esperanza Pizarro Pagalday";"E. Pizarro";"68468";"2001-04-15";"93.4";"11";"0";"9461.36";"101.3";"1284.18";"438.09";"34.27";"49.18";"2.73";"487.27";"37.0";"25.32";"26.36";"104.18";"3.73";"81.45";"8.0";"1.36";"0.97";"null";"0.0";"null";"null";"27.0";"1.91";"2.99";"9117.39";"101.3";"1237.49";"422.16";"33.03";"47.39";"2.63";"469.56";"35.65";"100.39";"3.59";"78.49";"7.71";"1.31";"0.0";"26.02"
"Chantal Hagel";"C. Hagel";"69887";"1998-07-20";"83.07";"4";"0";"9237.0";"111.2";"1368.25";"299.0";"22.75";"10.5";"0.5";"309.5";"23.25";"23.55";"23.55";"88.75";"1.5";"82.0";"5.25";"0.25";"null";"null";"0.25";"null";"null";"15.5";"2.7";"null";"10007.99";"111.2";"1482.45";"323.96";"24.65";"11.38";"0.54";"335.33";"25.19";"96.16";"1.63";"88.84";"5.69";"0.27";"0.27";"16.79"
"Sarah Jankovska";"S. Jankovska";"69987";"1999-08-13";"80.87";"4";"0";"8455.25";"104.55";"882.25";"240.75";"20.75";"26.75";"1.5";"267.5";"22.25";"26.82";"26.82";"78.0";"1.75";"71.5";"3.75";"0.25";"null";"null";"0.0";"null";"null";"17.75";"2.41";"null";"9409.73";"104.55";"981.84";"267.93";"23.09";"29.77";"1.67";"297.7";"24.76";"86.81";"1.95";"79.57";"4.17";"0.28";"0.0";"19.75"
"Claudia Florentino Vivó";"Claudia Florentino";"69993";"1998-03-10";"97.06";"10";"0";"9653.7";"99.46";"1010.5";"330.9";"27.6";"45.3";"3.4";"376.2";"31.0";"26.21";"26.64";"104.7";"2.8";"87.5";"5.9";"0.8";"1.25";"null";"0.0";"null";"null";"17.2";"2.24";"3.07";"8951.2";"99.46";"936.97";"306.82";"25.59";"42.0";"3.15";"348.82";"28.74";"97.08";"2.6";"81.13";"5.47";"0.74";"0.0";"15.95"
"Natasa Andonova";"N. Andonova";"70069";"1993-12-04";"78.36";"8";"0";"8030.25";"102.48";"986.88";"211.25";"18.38";"13.0";"0.62";"224.25";"19.0";"24.02";"24.7";"81.5";"1.0";"68.75";"3.88";"0.12";"null";"null";"0.0";"null";"null";"18.0";"2.45";"null";"9223.55";"102.48";"1133.52";"242.64";"21.11";"14.93";"0.72";"257.57";"21.82";"93.61";"1.15";"78.97";"4.45";"0.14";"0.0";"20.67"
"Ainhoa Estévez Bascuñán";"Ainhoa Bascuñán";"70071";"2004-02-23";"87.43";"5";"0";"9115.8";"104.27";"1278.2";"212.6";"15.8";"8.4";"1.0";"221.0";"16.8";"23.22";"23.22";"90.8";"1.8";"80.0";"3.6";"0.4";"null";"null";"0.0";"null";"null";"15.2";"2.76";"null";"9384.12";"104.27";"1315.82";"218.86";"16.27";"8.65";"1.03";"227.5";"17.29";"93.47";"1.85";"82.35";"3.71";"0.41";"0.0";"15.65"
"Estefanía  Lima Díaz";"Estefa";"70124";"1989-05-11";"83.36";"5";"0";"8289.6";"99.44";"969.8";"204.8";"15.2";"8.8";"0.4";"213.6";"15.6";"24.04";"24.04";"91.6";"2.2";"82.0";"6.8";"0.4";"null";"null";"0.0";"null";"null";"11.0";"3.23";"null";"8949.55";"99.44";"1047.01";"221.1";"16.41";"9.5";"0.43";"230.6";"16.84";"98.89";"2.38";"88.53";"7.34";"0.43";"0.0";"11.88"
"Belen Martínez Sousa";"Belen";"70126";"1988-11-24";"95.97";"15";"0";"9509.67";"99.09";"1062.2";"567.33";"56.67";"228.33";"11.73";"795.67";"68.4";"28.85";"29.72";"104.6";"6.73";"82.47";"19.73";"4.53";"0.68";"0.76";"1.33";"1.41";"1.59";"27.27";"2.29";"2.8";"8918.0";"99.09";"996.11";"532.04";"53.14";"214.13";"11.0";"746.16";"64.14";"98.09";"6.31";"77.34";"18.51";"4.25";"1.25";"25.57"
"Ainoa Campo Franco";"Ainoa Campo";"70128";"1996-06-17";"96.0";"17";"0";"10621.65";"110.65";"1441.29";"310.24";"25.59";"27.76";"1.59";"338.0";"27.18";"25.04";"26.4";"114.59";"1.88";"98.18";"6.88";"0.41";"0.94";"null";"0.0";"null";"null";"24.24";"2.07";"2.93";"9958.3";"110.65";"1351.28";"290.86";"23.99";"26.03";"1.49";"316.89";"25.48";"107.43";"1.76";"92.05";"6.45";"0.39";"0.0";"22.72"
"Raquel Pinel Sáez";"Raquel Pinel";"70143";"1994-08-30";"89.67";"6";"0";"8453.83";"94.27";"1019.0";"241.5";"22.67";"24.0";"1.0";"265.5";"23.67";"23.52";"23.7";"94.17";"2.5";"78.83";"6.17";"0.83";"null";"null";"0.0";"null";"null";"15.83";"2.07";"null";"8484.73";"94.27";"1022.72";"242.38";"22.75";"24.09";"1.0";"266.47";"23.75";"94.51";"2.51";"79.12";"6.19";"0.84";"0.0";"15.89"
"Sheila Guijarro Gómez";"Sheila Guijarro";"70144";"1996-09-26";"83.62";"2";"0";"8478.5";"101.4";"980.5";"354.0";"30.0";"81.0";"2.5";"435.0";"32.5";"26.4";"26.4";"85.5";"5.0";"73.0";"9.5";"0.5";"null";"null";"0.5";"null";"null";"20.5";"null";"null";"9125.75";"101.4";"1055.35";"381.02";"32.29";"87.18";"2.69";"468.21";"34.98";"92.03";"5.38";"78.57";"10.23";"0.54";"0.54";"22.06"
"Arene Altonaga Echeverria";"Arene Altonaga";"70147";"1993-02-25";"89.12";"16";"0";"9644.38";"108.22";"1435.06";"282.25";"25.56";"17.19";"1.06";"299.44";"26.62";"24.06";"25.22";"109.81";"2.0";"93.5";"11.75";"0.81";"0.76";"0.83";"0.0";"null";"null";"29.0";"2.04";"2.88";"9739.74";"108.22";"1449.25";"285.04";"25.82";"17.36";"1.07";"302.4";"26.89";"110.9";"2.02";"94.42";"11.87";"0.82";"0.0";"29.29"
"Arola Aparicio Gili";"Arola Aparicio";"70148";"1997-09-24";"86.34";"6";"0";"9305.0";"107.77";"1216.5";"538.0";"51.33";"177.17";"10.0";"715.17";"61.33";"27.67";"27.9";"93.67";"6.33";"84.17";"14.83";"5.0";"0.71";"0.79";"1.33";"1.58";"null";"33.17";"2.15";"3.01";"9699.26";"107.77";"1268.04";"560.8";"53.51";"184.67";"10.42";"745.47";"63.93";"97.64";"6.6";"87.73";"15.46";"5.21";"1.39";"34.57"
"Elba Vergés Prats";"Elba Vergés";"70149";"1995-10-24";"102.07";"19";"0";"9696.79";"95.0";"1026.21";"254.26";"21.21";"19.05";"1.0";"273.32";"22.21";"24.81";"26.14";"105.53";"2.74";"85.53";"4.74";"1.42";"0.79";"null";"0.16";"null";"null";"15.63";"2.29";"2.88";"8549.81";"95.0";"904.83";"224.19";"18.7";"16.8";"0.88";"240.99";"19.58";"93.04";"2.41";"75.41";"4.18";"1.25";"0.14";"13.78"
"María Llompart Pons";"María Llompart";"70151";"2000-10-19";"91.95";"15";"0";"9824.87";"106.85";"1313.33";"398.93";"32.13";"47.27";"3.0";"446.2";"35.13";"25.35";"26.34";"99.73";"2.2";"86.0";"8.2";"1.47";"0.87";"1.19";"0.2";"null";"null";"25.93";"2.29";"3.03";"9616.74";"106.85";"1285.51";"390.48";"31.45";"46.27";"2.94";"436.75";"34.39";"97.62";"2.15";"84.18";"8.03";"1.44";"0.2";"25.38"
